area_ratio_diff,area_ratio_gt,area_ratio_pred,aspect_ratio_diff,aspect_ratio_gt,aspect_ratio_pred,cer,corner_rmse,dataset,polygon_iou,stem,wer
,,,,,,0.07051070840197693,,ocr_test,,ocr_test_1,0.14031620553359683
,,,,,,0.07268651937239834,,ocr_test,,ocr_test_2,0.16666666666666666
,,,,,,0.03667697746354397,,ocr_test,,ocr_test_3,0.16346153846153846
,,,,,,0.050933786078098474,,ocr_test,,ocr_test_4,0.16071428571428573
,,,,,,0.022434718646561234,,ocr_test,,ocr_test_5,0.07296137339055794
,,,,,,0.034020894722743104,,ocr_test,,ocr_test_6,0.1012216404886562
,,,,,,0.08621268030862127,,ocr_test,,ocr_test_7,0.17857142857142858
,,,,,,0.049093904448105435,,ocr_test_bin,,ocr_test_1,0.12845849802371542
,,,,,,0.654178674351585,,ocr_test_bin,,ocr_test_2,0.8160919540229885
,,,,,,0.10826336721166593,,ocr_test_bin,,ocr_test_3,0.23717948717948717
,,,,,,0.04923599320882852,,ocr_test_bin,,ocr_test_4,0.12755102040816327
,,,,,,0.029054799558661273,,ocr_test_bin,,ocr_test_5,0.11587982832618025
,,,,,,0.04821859094562014,,ocr_test_bin,,ocr_test_6,0.13961605584642234
,,,,,,0.300570278430057,,ocr_test_bin,,ocr_test_7,0.36507936507936506
0.0,0.7986715955307863,0.7986715955307863,0.0,0.766156462585034,0.766156462585034,,0.0,scanner_test,1.0,scanner_test_1,
0.0,0.34932788213094074,0.34932788213094074,0.0,0.8991596638655462,0.8991596638655462,,0.0,scanner_test,1.0,scanner_test_10,
0.0,0.3347047170003255,0.3347047170003255,0.0,0.8148677626876341,0.8148677626876341,,0.0,scanner_test,1.0,scanner_test_11,
-0.004170330191999083,0.5514007223488618,0.5472303921568628,-0.007487974706705036,0.8324446471503792,0.8249566724436742,,4.188820299352101,scanner_test,0.9894292911269085,scanner_test_12,
-0.006451764856497011,0.568408211825375,0.561956446968878,-0.004511204936695989,0.797826948120513,0.793315743183817,,3.9503827360777324,scanner_test,0.9887122183444779,scanner_test_13,
0.0,0.27382485071818036,0.27382485071818036,0.0,0.8758568164508759,0.8758568164508759,,0.0,scanner_test,1.0,scanner_test_14,
0.0,0.2849750518798828,0.2849750518798828,0.0,0.8383458646616542,0.8383458646616542,,0.0,scanner_test,1.0,scanner_test_15,
0.0,0.28387705485026044,0.28387705485026044,0.0,0.7998417721518988,0.7998417721518988,,0.0,scanner_test,1.0,scanner_test_16,
0.0,0.2800113360087077,0.2800113360087077,0.0,0.9233630952380952,0.9233630952380952,,0.0,scanner_test,1.0,scanner_test_17,
0.0,0.25461864471435547,0.25461864471435547,0.0,0.9207843137254902,0.9207843137254902,,0.0,scanner_test,1.0,scanner_test_18,
0.0,0.29728492101033527,0.29728492101033527,0.0,0.9398782343987824,0.9398782343987824,,0.0,scanner_test,1.0,scanner_test_19,
0.0,0.6824580145656719,0.6824580145656719,0.0,0.764554794520548,0.764554794520548,,0.0,scanner_test,1.0,scanner_test_2,
0.0,0.28633737564086914,0.28633737564086914,0.0,0.9270290394638868,0.9270290394638868,,0.0,scanner_test,1.0,scanner_test_20,
0.0,0.36190160115559894,0.36190160115559894,0.0,0.834958217270195,0.834958217270195,,0.0,scanner_test,1.0,scanner_test_21,
-0.0008577524017234772,0.2866906343292137,0.28583288192749023,0.0025123890626459477,0.9211737160489452,0.9236861051115911,,2.36083103286032,scanner_test,0.9959626096293585,scanner_test_22,
0.0,0.6980254650115967,0.6980254650115967,0.0,0.7540021344717183,0.7540021344717183,,0.0,scanner_test,1.0,scanner_test_23,
0.0,0.6771887938181559,0.6771887938181559,0.0,0.740072202166065,0.740072202166065,,0.0,scanner_test,1.0,scanner_test_24,
0.0,0.36786365509033203,0.36786365509033203,0.0,0.8324360699865411,0.8324360699865411,,0.0,scanner_test,1.0,scanner_test_25,
0.0,0.5774470170338949,0.5774470170338949,0.0,0.7687810581701257,0.7687810581701257,,0.0,scanner_test,1.0,scanner_test_26,
0.0,0.4726846218109131,0.4726846218109131,0.0,0.7134020618556701,0.7134020618556701,,0.0,scanner_test,1.0,scanner_test_27,
-0.0009289231601726788,0.4292134090308214,0.4282844858706487,0.0005431623992145918,0.8836232548411326,0.8841664172403472,,2.8418179624715667,scanner_test,0.9979186671687316,scanner_test_28,
0.0,0.4432858384037058,0.4432858384037058,0.0,0.8495960223741454,0.8495960223741454,,0.0,scanner_test,1.0,scanner_test_29,
0.0,0.36714887619018555,0.36714887619018555,0.0,0.886084142394822,0.886084142394822,,0.0,scanner_test,1.0,scanner_test_3,
-0.0006227414511764673,0.3312393745485072,0.33061663309733075,0.0020228283456978913,0.9406001224739743,0.9426229508196722,,1.6166623389860137,scanner_test,0.9980189028093644,scanner_test_30,
0.0,0.6078953366410795,0.6078953366410795,0.0,0.7302278820375335,0.7302278820375335,,0.0,scanner_test,1.0,scanner_test_31,
0.0,0.6217233035189385,0.6217233035189385,0.0,0.8387779794313369,0.8387779794313369,,0.0,scanner_test,1.0,scanner_test_32,
0.0,0.43002167350350634,0.43002167350350634,0.0,0.8426928281461434,0.8426928281461434,,0.0,scanner_test,1.0,scanner_test_33,
-0.003855602376064471,0.4042360548500228,0.4003804524739583,-0.0017110522321788224,0.8838703675712176,0.8821593153390388,,3.984556825232757,scanner_test,0.9903248544332512,scanner_test_34,
0.0,0.3024431864420573,0.3024431864420573,0.0,0.9011299435028248,0.9011299435028248,,0.0,scanner_test,1.0,scanner_test_35,
0.0,0.34307241439819336,0.34307241439819336,0.0,0.9318637274549099,0.9318637274549099,,0.0,scanner_test,1.0,scanner_test_36,
0.0,0.3420991897583008,0.3420991897583008,0.0,0.92,0.92,,0.0,scanner_test,1.0,scanner_test_37,
0.0,0.44637425740559894,0.44637425740559894,0.0,0.8146341463414634,0.8146341463414634,,0.0,scanner_test,1.0,scanner_test_38,
0.0,0.28553469975789386,0.28553469975789386,0.0,0.9205298013245033,0.9205298013245033,,0.0,scanner_test,1.0,scanner_test_39,
0.0,0.37923288345336914,0.37923288345336914,0.0,0.8223642172523962,0.8223642172523962,,0.0,scanner_test,1.0,scanner_test_4,
0.0,0.3457471529642741,0.3457471529642741,0.0,0.840924541128484,0.840924541128484,,0.0,scanner_test,1.0,scanner_test_40,
0.0,0.41585683822631836,0.41585683822631836,0.0,0.7847593582887701,0.7847593582887701,,0.0,scanner_test,1.0,scanner_test_41,
0.0,0.7711784472347852,0.7711784472347852,0.0,0.7221727515583259,0.7221727515583259,,0.0,scanner_test,1.0,scanner_test_42,
-0.003989006156844888,0.35925223934165934,0.35526323318481445,0.0006177246286225291,0.8743822753713775,0.875,,4.342267263673575,scanner_test,0.9888656610699105,scanner_test_5,
0.0,0.30440537134806317,0.30440537134806317,0.0,0.8194973343488196,0.8194973343488196,,0.0,scanner_test,1.0,scanner_test_6,
0.0,0.3916897773742676,0.3916897773742676,0.0,0.7803468208092486,0.7803468208092486,,0.0,scanner_test,1.0,scanner_test_7,
0.0,0.23337634404500326,0.23337634404500326,0.0,0.9190283400809717,0.9190283400809717,,0.0,scanner_test,1.0,scanner_test_8,
-0.0026854161606152394,0.28912070236463544,0.2864352862040202,0.002510547801645724,0.8304396437692355,0.8329501915708812,,3.8222407182560945,scanner_test,0.9898384835233022,scanner_test_9,
